"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000003402"	2546.61419680864	-1.19043241572221	0.120621217380764	-9.86917925031694	5.66260344467267e-23	4.81534975946032e-21
"ENSG00000004799"	914.379014067714	-2.64492728351951	0.628564616633638	-4.20788446171974	2.57772597835099e-05	0.000263293166785902
"ENSG00000006283"	62.9602514242751	1.46690803016274	0.286728811167292	5.11601197030343	3.12063264592751e-07	4.68432683936562e-06
"ENSG00000007237"	427.013218754781	1.40485095233038	0.190099677724947	7.39007540224787	1.46745572918249e-13	5.17716083868921e-12
"ENSG00000008256"	3716.57738197619	-1.18340116767757	0.103230381219748	-11.4636907632691	2.00772843762803e-30	2.74207032375441e-28
"ENSG00000008311"	721.942089206498	-1.09570624491445	0.107933419052914	-10.1516866094761	3.25685484622624e-24	3.10659149035802e-22
"ENSG00000009413"	7584.98097699963	-1.09556044928272	0.126065621306496	-8.69039820633691	3.61171299165061e-18	2.00344497887622e-16
"ENSG00000011198"	1159.4037990956	-1.12504485651036	0.176903617821889	-6.35964866271464	2.02215737187712e-10	4.8349407294696e-09
"ENSG00000012048"	221.111604295128	1.21040431991193	0.170006642531845	7.11974721626069	1.08125184656027e-12	3.4018862634884e-11
"ENSG00000013293"	244.497326184804	2.88290688674632	0.218489977266555	13.1946871101973	9.4144951831146e-40	1.92868771774079e-37
"ENSG00000013297"	3431.57264316715	1.77433880162094	0.172997912842912	10.256417389452	1.10739255479006e-24	1.09692708668984e-22
"ENSG00000016391"	92.1114413835648	2.00741643336826	0.26383992090809	7.60846359587697	2.7737335691063e-14	1.04176809966351e-12
"ENSG00000017483"	445.787471591791	1.0055923827184	0.198509878810153	5.06570448153922	4.06892734285716e-07	5.97579405376531e-06
"ENSG00000020577"	3105.00555637675	-1.20330797579411	0.0924720105542735	-13.0126723597933	1.03652797499241e-38	2.03114416664817e-36
"ENSG00000021645"	35.9587320894996	-1.91054488014855	0.427639552560901	-4.46765241593611	7.90826635438124e-06	9.08090610425382e-05
"ENSG00000023909"	1927.71101011188	-1.22203505448302	0.117058860646221	-10.4394921301711	1.63684050304551e-25	1.74609234253872e-23
